HeadID,Name,Side,Message
10,方掩,L,哦？竟然是你们……
18,小师妹,R,{师兄}[师姐]，这声音好生耳熟……
0,0,R,！！你是屡次相救的黑衣蒙面人！！
10,方掩,L,哈哈哈！好耳力，竟然被你们认了出来……沈天浩好大的本事，竟然诓了你们来剑冢找庄主夫人……
0,0,R,前辈是狭义之士，为何前来铸剑山庄掳人？
10,方掩,L,看来他还骗了你们不少……沈天浩此人爱慕夫人，一直觊觎庄主之位，如今庄主失踪定和他有联系。
10,方掩,L,庄主夫人也是逃入剑冢之中，才免于被他迫害，此番我前来营救夫人出去，料想他辗转难眠，定要除了我才安心。
0,0,R,啊！竟然是这样！可代庄主看起来甚是温和，方才还将小师妹认作他的侄女大为激动，怎会这般狼子野心……
10,方掩,L,呵呵……他当然激动，若是找不到庄主夫人，她女儿的纯阴体质也可助他练功……
0,0,R,这……
10,方掩,L,我看你颇为顾虑。无妨，你大可继续观察观察再说……
10,方掩,L,不瞒你说，我进入剑冢之后也未找到庄主夫人，想必她已经转移去了别处……
10,方掩,L,这件事也交付于你，务必要找到夫人所在，将她保护好。江湖此番解难能否避免，就看你的了……
